130	95	96
122	96	90
122	131	96
131	130	96
123	131	122
125	132	126
127	132	125
133	132	127
128	133	127
134	133	128
129	134	128
99	135	136
98	135	99
100	99	137
99	136	137
101	100	138
100	137	138
102	101	139
101	138	139
103	102	140
102	139	140
140	105	103
141	105	140
108	142	143
107	142	108
135	98	108
143	135	108
105	141	144
109	105	144
144	111	109
145	111	144
107	112	142
142	112	146
111	145	113
145	147	113
148	149	150
148	150	146
148	146	114
114	146	112
151	152	115
151	115	147
147	115	113
151	153	152
154	149	148
155	149	154
114	116	154
148	114	154
152	156	117
115	152	117
157	152	153
156	152	157
154	158	155
158	154	116
158	116	159
159	116	118
156	160	161
156	161	117
117	161	119
157	160	156
118	162	159
120	162	118
162	120	121
163	162	121
119	161	123
161	164	123
121	165	163
124	165	121
165	124	126
166	165	126
130	167	168
129	130	168
131	169	130
130	169	167
164	131	123
169	131	164
126	170	166
132	170	126
133	171	132
132	171	170
134	172	133
133	172	171
168	134	129
172	134	168
136	173	174
135	173	136
137	136	175
136	174	175
138	137	176
137	175	176
139	138	177
138	176	177
140	139	178
139	177	178
178	141	140
179	141	178
143	180	181
142	180	143
173	135	143
181	173	143
141	179	182
144	141	182
182	145	144
183	145	182
142	146	180
180	146	184
145	183	147
183	185	147
150	149	186
150	186	187
150	187	146
146	187	184
188	151	147
188	147	189
189	147	185
151	188	153
186	155	190
149	155	186
191	187	186
190	191	186
192	188	189
193	192	189
153	192	157
188	192	153
155	158	190
190	158	159
190	159	191
191	159	194
160	192	193
160	193	161
161	193	195
157	192	160
159	196	194
162	196	159
196	162	163
197	196	163
198	199	200
198	195	199
198	164	195
164	161	195
163	201	197
165	201	163
201	165	166
202	201	166
167	203	204
168	167	204
200	169	198
200	203	169
203	167	169
164	198	169
166	205	202
170	205	166
171	206	170
170	206	205
172	207	171
171	207	206
204	172	168
207	172	204
174	173	208
209	174	208
209	210	174
210	175	174
176	175	211
175	210	211
177	176	212
176	211	212
213	212	214
213	178	212
178	177	212
178	213	179
181	180	215
181	215	216
173	181	216
173	216	217
173	217	208
209	208	217
213	214	218
219	218	220
182	218	219
182	213	218
182	179	213
182	219	183
215	221	222
215	180	221
180	184	221
216	215	222
219	220	223
223	183	219
223	224	183
224	185	183
184	187	221
221	187	225
185	224	189
224	226	189
187	191	225
225	191	227
189	226	193
226	228	193
191	194	227
227	194	229
193	228	195
228	230	195
194	231	229
196	231	194
231	196	197
232	231	197
199	233	234
200	199	234
230	199	195
233	199	230
197	235	232
201	235	197
202	236	237
202	237	201
201	237	235
236	238	239
237	236	239
238	240	241
239	238	241
240	204	203
240	203	241
241	203	242
234	203	200
242	203	234
202	205	236
206	236	205
238	236	206
207	238	206
240	238	207
204	240	207
210	209	243
210	244	211
243	244	210
211	245	212
244	245	211
212	245	214
217	216	246
217	246	247
209	217	247
209	247	248
209	248	243
244	243	248
249	244	248
245	244	249
250	245	249
251	250	252
218	250	251
218	245	250
218	214	245
218	251	220
222	221	253
222	253	254
216	222	254
216	254	255
216	255	246
247	246	255
251	252	256
257	256	258
223	256	257
223	251	256
223	220	251
223	257	224
253	225	259
221	225	253
260	254	253
259	260	253
261	257	258
262	261	258
224	261	226
257	261	224
259	227	263
225	227	259
264	260	259
263	264	259
265	261	262
266	265	262
226	265	228
261	265	226
263	229	267
227	229	263
268	264	263
267	268	263
269	265	266
270	269	266
228	269	230
265	269	228
229	231	267
232	271	272
231	232	272
231	272	268
231	268	267
271	273	274
272	271	274
274	273	275
276	277	278
276	279	280
277	276	280
270	280	279
269	270	279
269	279	234
269	234	233
230	269	233
232	235	271
237	271	235
273	271	237
273	281	275
273	237	281
237	239	281
278	241	276
278	281	241
281	239	241
242	276	241
279	276	242
234	279	242
248	247	282
248	283	249
282	283	248
249	284	250
283	284	249
250	284	252
255	254	285
255	282	247
255	285	282
285	286	282
283	282	287
287	282	286
284	283	288
288	283	287
252	289	256
252	284	289
284	288	289
256	289	258
285	260	290
254	260	285
286	285	291
291	285	290
292	293	287
292	287	291
291	287	286
288	287	293
294	288	293
294	295	296
294	296	288
288	296	289
258	296	262
289	296	258
290	264	297
260	264	290
291	290	298
298	290	297
299	292	291
299	291	300
300	291	298
300	301	302
299	300	302
295	302	301
295	301	296
296	301	303
262	303	266
296	303	262
297	268	304
264	268	297
298	297	305
305	297	304
300	298	306
306	298	305
301	300	307
307	300	306
303	301	308
308	301	307
266	308	270
303	308	266
268	272	304
274	304	272
305	304	274
275	305	274
275	309	305
309	306	305
277	309	278
277	307	309
307	306	309
280	307	277
308	307	280
270	308	280
275	281	309
278	309	281
293	292	310
293	311	294
310	311	293
294	311	295
292	299	310
302	310	299
311	310	302
295	311	302

